transformation,model,mean_nss,mean_ig,median_nss,median_ig,std_nss,std_ig
Mirroring,centerbias,2.0552964,0.0,2.008781,0.0,0.70079017,0.0
MotionBlur_1,deepgaze_1024_576,1.3256222,-0.9629148,1.3075314,-0.95667326,0.3677957,0.33526605
MotionBlur_1,real,2.7736022160222222,0.9424411547190844,2.6924002126872404,0.8841303753575988,0.5194570402368476,0.2679878822049385
MotionBlur_1,centerbias,1.911655,0.0,1.8469794,0.0,0.50579786,0.0
MotionBlur_2,deepgaze_1024_576,1.3987036,-0.9821485,1.3707855,-0.989161,0.33727798,0.32153118
MotionBlur_2,real,2.7938335693025884,0.91724840302807,2.6598800612722173,0.8564867448031762,0.5432069470712114,0.25796438426372675
MotionBlur_2,centerbias,1.9627793,0.0,1.9232099,0.0,0.4861776,0.0
Noise_1,deepgaze_1024_576,1.4365741,-1.0095438,1.3546517,-1.043989,0.46720275,0.38727665
Noise_1,real,3.19054716023384,1.1360362253471017,3.006926570767794,1.0895146396194622,0.7084392446085614,0.30150102455682076
Noise_1,centerbias,1.983005,0.0,1.8471756,0.0,0.63846415,0.0
Noise_2,deepgaze_1024_576,1.4111948,-1.0903007,1.4186738,-1.131516,0.37702394,0.37921447
Noise_2,real,3.204088672870146,1.1133636797261406,3.0659541476166217,1.0570934123064326,0.6489728289162621,0.3176900502740848
Noise_2,centerbias,2.03292,0.0,1.973052,0.0,0.60971963,0.0
Reference,deepgaze_1024_576,1.5638337,-0.94023454,1.4777114,-0.95406723,0.609283,0.3878656
Reference,real,3.534854730051088,1.2653773016076966,3.3283800132598236,1.208602472623568,0.8275498290117512,0.36352611401811336
Reference,centerbias,2.0664535,0.0,1.9398147,0.0,0.704585,0.0
Rotation_1,deepgaze_1024_576,2.5922234,-1.7769929,2.5452337,-1.7823137,0.61058015,0.37213662
Rotation_1,real,4.523305735563974,0.6871620528254238,4.402614854846842,0.6512204522945424,0.7922512508194043,0.22030204802944348
Rotation_1,centerbias,3.491998,0.0,3.4729352,0.0,0.6959971,0.0
Rotation_2,deepgaze_1024_576,2.5328732,-1.8490545,2.45264,-1.8309675,0.5773696,0.34121972
Rotation_2,real,4.435543809659634,0.6190205894943073,4.284504389638022,0.5785472401246774,0.7850025913093,0.20694476873853784
Rotation_2,centerbias,3.5649142,0.0,3.5576224,0.0,0.7062616,0.0
Shearing_1,deepgaze_1024_576,1.7728462,-1.0629748,1.6827512,-1.1029975,0.5629718,0.35021612
Shearing_1,real,3.550375158250751,1.086339914676799,3.3599211611531237,1.074051671776723,0.7629648480729093,0.30613300065365545
Shearing_1,centerbias,2.318931,0.0,2.2546544,0.0,0.6652877,0.0
Shearing_2,deepgaze_1024_576,2.1215723,-1.2130064,2.0688465,-1.2252786,0.56391054,0.33476254
Shearing_2,real,3.755816687569782,0.9027944219652535,3.5362226311437217,0.8643363997309494,0.7797727885389095,0.26232331272437753
Shearing_2,centerbias,2.6169608,0.0,2.4726949,0.0,0.6848894,0.0
Shearing_3,deepgaze_1024_576,2.5081685,-1.4995422,2.4455628,-1.4701016,0.5363711,0.37140036
Shearing_3,real,4.076465772479957,0.686989221062328,3.8994733275505684,0.6790463095711651,0.7786261202225414,0.21677491391922155
Shearing_3,centerbias,3.1897912,0.0,3.0708482,0.0,0.7438905,0.0
