transformation,model,mean_nss,mean_ig,median_nss,median_ig,std_nss,std_ig
Compression_2,deepgaze_1024_576,2.1015806,-0.051461615,1.97705,-0.1460844,0.8628176,0.5315611
Compression_2,deepgaze_1920_1080,1.8900781,-0.25280806,1.819553,-0.3059259,0.8901499,0.54309994
Compression_2,unisal_384_224,1.9321104,-0.07827325,1.8008853,-0.074544206,0.7004829,0.4747411
Compression_2,unisal_384_288,1.9017183,-0.09045343,1.7846216,-0.068966694,0.6500532,0.45962808
Compression_2,unisal_384_216,1.9238309,-0.086726256,1.8061019,-0.0796105,0.7129433,0.48341253
Compression_2,unisal_1920_1080,1.4071853,-0.50505304,1.325072,-0.49713707,0.42057633,0.40407023
Compression_2,real,3.1322702560336375,1.053828607945036,3.0511309048103756,1.0206527872882263,0.6029090675745709,0.3292140776424332
Compression_2,centerbias,2.0612273,0.0,1.9876968,0.0,0.5496875,0.0
ContrastChange_1,deepgaze_1024_576,2.3016381,0.17921561,2.080089,0.15400515,0.9481545,0.562597
ContrastChange_1,deepgaze_1920_1080,2.046479,-0.09035659,1.7724402,-0.11592354,0.9836617,0.5692577
ContrastChange_1,unisal_384_224,1.7281418,-0.20469052,1.6811147,-0.18828265,0.58788896,0.3869705
ContrastChange_1,unisal_384_288,1.7822511,-0.14558755,1.783525,-0.1335992,0.5548054,0.37126875
ContrastChange_1,unisal_384_216,1.6786157,-0.23515196,1.6518524,-0.20036283,0.58695203,0.4139621
ContrastChange_1,unisal_1920_1080,1.682336,-0.2679497,1.6481242,-0.25106865,0.5944872,0.43379754
ContrastChange_1,real,3.195126706382813,1.1413755796362899,3.1630253062471816,1.076212350167522,0.6354297309345055,0.3583041762517033
ContrastChange_1,centerbias,1.9937558,0.0,1.8990123,0.0,0.6146197,0.0
ContrastChange_2,deepgaze_1024_576,2.4238305,-0.19377281,2.2240248,-0.16734454,1.1275946,0.7148849
ContrastChange_2,deepgaze_1920_1080,2.1189942,-0.5120278,1.9114285,-0.5132926,1.1479341,0.75445807
ContrastChange_2,unisal_384_224,2.01384,-0.45350865,2.0650408,-0.47684187,0.59675115,0.42603981
ContrastChange_2,unisal_384_288,2.113018,-0.3347951,2.1310527,-0.31497508,0.6737309,0.39924878
ContrastChange_2,unisal_384_216,1.9059536,-0.51775545,1.951927,-0.52186465,0.5947955,0.45671025
ContrastChange_2,unisal_1920_1080,2.032994,-0.40581048,2.0723033,-0.419756,0.68007624,0.3608353
ContrastChange_2,real,3.6465041507953555,1.0205056059344746,3.5157944359586084,1.001196801569862,0.6804652469923349,0.37138538423707834
ContrastChange_2,centerbias,2.5155861,0.0,2.464098,0.0,0.68230855,0.0
Cropping_1,deepgaze_1024_576,1.8165708,-0.04131329,1.7212023,-0.043831,0.64981127,0.45208722
Cropping_1,deepgaze_1920_1080,1.6070698,-0.23689255,1.6001588,-0.22470385,0.66531557,0.48318318
Cropping_1,unisal_384_224,1.7416726,-0.08993593,1.6949701,-0.13782245,0.64032793,0.46127403
Cropping_1,unisal_384_288,1.6836388,-0.12953402,1.635901,-0.18254241,0.60404885,0.45064342
Cropping_1,unisal_384_216,1.754774,-0.059602413,1.7174562,-0.102445096,0.64780694,0.43869144
Cropping_1,unisal_1920_1080,1.2090561,-0.6658217,1.1780615,-0.71057785,0.44428802,0.50615084
Cropping_1,real,2.8067381118149233,1.0448223835029902,2.716048139957974,1.0274064931926699,0.4981261824099249,0.27010664467322726
Cropping_1,centerbias,1.7866133,0.0,1.7919768,0.0,0.44242656,0.0
