transformation,image_number,ssim,cc,kl,reference_nss,reference_ig,transformed_nss,transformed_ig
Boundary,23,0.09186314396017113,0.746786457696281,0.33177364,3.196162,1.19457,2.8629885,1.2209271
Boundary,24,0.15634777940937808,0.6227850183893701,0.516369,3.368913,0.7877806,2.345317,-0.33966976
Boundary,25,0.265168353163578,0.5496196687200966,0.3861638,4.2134767,0.1024932,1.916288,-0.2561498
Boundary,26,0.2498823349526358,0.6318353185250517,0.21493885,1.9438225,-0.22578402,1.1302967,-0.37970462
Boundary,27,0.24789306699732092,0.867869972639642,0.19831973,3.5952628,0.8617386,2.871975,1.0043627
Boundary,28,0.279966068054511,0.4966357734984972,0.59058064,2.2796924,0.68148667,2.179723,-0.24602756
Boundary,29,0.2900441439107416,0.6037655019242711,0.40460384,0.90789276,-0.07297165,1.5635886,0.41763154
Boundary,30,0.2973497135367698,0.5796182621509863,0.5173512,1.9263022,-0.1239056,1.6641599,-0.40079612
Boundary,31,0.23464459927324657,0.8801078315070989,0.14244628,2.6056914,-0.2076544,2.1972873,-0.10897842
Boundary,32,0.35825295104807536,0.7645461930547803,0.3909093,3.1166294,0.22213593,2.2254615,-0.4621162
Boundary,33,0.2492350350977286,0.6851901001980796,0.21052238,2.595626,0.24308988,1.3993133,-0.0372889
Boundary,34,0.45983294180184764,0.8917768966168456,0.0889829,1.8069247,-0.3694626,2.34646,0.027746368
Boundary,35,0.2525243464884648,0.7546252371277268,0.13174684,1.3501881,-0.26369634,0.95673794,-0.74124813
Boundary,36,0.19419260896774668,0.7298306947986997,0.16199635,1.2316531,-0.8778576,1.2420763,-0.6560504
Boundary,37,0.10919501614351268,0.8223361759453371,0.12095964,1.8325655,0.83614177,1.3168614,-1.1036997
Boundary,38,0.5673231815862808,0.7587624540225074,0.3190268,2.4834466,0.49233595,2.2525914,0.19873895
Boundary,39,0.4296741086490654,0.859779669883328,0.18090916,1.4849262,-0.19753869,1.6819273,-0.017453471
Boundary,40,0.4456131886629,0.7665331849224558,0.13219103,1.0388715,-0.6761028,0.7969025,-0.67100483
Boundary,41,0.03835800713501487,0.8227663006875252,0.1452005,1.2824403,-0.42850316,1.5556731,-0.623973
Boundary,42,0.25070074132101045,0.9275998488357113,0.16123274,4.545988,0.78929913,3.712037,0.2846184
Boundary,43,0.15237347674358945,0.6456468061206768,0.23567407,1.2778158,-0.1402206,1.2852092,-0.48636624
