transformation,image_number,ssim,cc,kl,reference_nss,reference_ig,transformed_nss,transformed_ig
Compression_1,21,0.7925060796269721,0.9959794850988025,0.010633094,5.0817847,1.0837563,4.2377534,0.47955593
Compression_1,22,0.8015831292186286,0.9932327977748447,0.007232691,3.0587187,0.46469757,2.3376563,0.21924114
Compression_1,23,0.8244099697323676,0.9926274977492124,0.017634057,3.0580564,1.2671969,2.2916434,0.9021262
Compression_1,24,0.788943976684347,0.9885904443758042,0.01231329,2.150295,0.2148015,1.7317603,0.061330996
Compression_1,25,0.7960203316123433,0.9854617976922635,0.012906547,3.805927,0.26284593,2.080706,0.57225984
Compression_1,26,0.7304393322694488,0.9761804365818744,0.040901586,1.521057,-0.400896,1.5436789,-0.3292846
Compression_1,27,0.9402959513646797,0.9981732298726929,0.0019485701,3.3845067,0.6675654,3.0988865,0.6243743
Compression_1,28,0.8265481325079964,0.9960845819424787,0.0040785666,1.3019055,-0.014553692,1.8498455,0.5077661
Compression_1,29,0.8088984773667193,0.9959434972324819,0.004673651,1.5684596,0.4222848,0.80154186,0.19410889
Compression_1,30,0.8508422945326689,0.9939042139427999,0.008924607,2.7790203,0.29745612,2.422368,0.12906492
Compression_1,31,0.7764460655325737,0.9927501338583773,0.0069155693,2.207238,-0.25884664,2.0321715,0.06328826
Compression_1,32,0.8054414936886536,0.9872699950063567,0.02322146,3.0333476,0.18186636,2.1248977,-0.9304705
Compression_1,33,0.7709807505105534,0.9956212591472382,0.005157676,1.8842145,-0.81437415,1.7631783,-0.41783893
Compression_1,34,0.9017981853726651,0.9983249702301028,0.0014751486,1.2205364,-0.85741115,1.0569847,-0.64148784
Compression_1,35,0.8026319148108746,0.9957216645122525,0.0030351016,1.1231974,-0.32307655,1.2093551,-0.5474331
Compression_1,36,0.7478426242188911,0.9930284633516238,0.005028821,1.3278446,-0.79396564,1.4708244,-0.56013477
Compression_1,37,0.8780391932649417,0.9966565268790785,0.0021935736,1.0490589,0.4046887,1.3714817,-1.298273
Compression_1,38,0.8675697843203363,0.996320125362336,0.0051967558,1.9947346,0.2895739,2.196424,-0.082175046
Compression_1,39,0.8185687473515095,0.9883564127700496,0.014513628,1.8483152,0.013370438,1.6391635,-0.12581284
Compression_1,40,0.8319695099477439,0.996203280958866,0.0029457104,1.2861571,-0.5230975,1.481697,-0.6502379
Compression_1,41,0.789982210506068,0.9977011564135547,0.0026059346,1.4629159,-0.37620324,1.4887339,-0.088092595
Compression_1,42,0.9350408577524071,0.9946420590579832,0.011433549,3.2537658,0.32767105,2.702429,0.09526009
Compression_1,43,0.77920477274983,0.9920348558668358,0.0070359614,0.66605604,-0.72528666,0.98285156,-0.52199996
Compression_1,44,0.9319901378406165,0.9982142254900968,0.0030026073,2.815398,0.55162686,3.0829716,0.52251464
Compression_1,45,0.7719251854934018,0.982762523001409,0.016443375,0.98389685,-0.41013524,0.9898997,-0.6250551
Compression_1,46,0.7408791639795783,0.9979474884970367,0.0027901116,0.88162607,-0.6433479,0.8805584,-0.67430544
Compression_1,47,0.9160069189085306,0.9867514570041419,0.013790115,1.3484062,0.5311824,1.1623827,-0.14332528
Compression_1,48,0.7878605654907836,0.9977554283573914,0.003296371,1.581593,-0.09303847,1.5447899,-0.32415813
Compression_1,49,0.745333709013364,0.9871811826543909,0.0099260975,0.8310208,-0.9777074,0.6622427,-1.6916585
Compression_1,50,0.9117337303079142,0.9980902828790827,0.0029097814,2.3547423,0.02030704,2.1483197,0.3393422
Compression_1,51,0.75752554465353,0.9920805649796515,0.008033253,1.6180083,-0.3304528,1.4562417,-0.33177438
Compression_1,52,0.7940108711376505,0.9973802632291899,0.0030901465,2.3768456,0.6461551,2.2981997,0.09321973
Compression_1,53,0.8199952611001922,0.9867862389130503,0.02216255,2.1573827,-0.31873474,1.3777089,-0.21583712
Compression_1,54,0.869172639093887,0.9987500569595098,0.0017988603,2.1754515,0.064189024,2.167035,-0.3260287
Compression_1,55,0.9283268342441748,0.9972823395890512,0.0022121323,1.8374833,-0.030267686,1.7743471,0.058164664
Compression_1,56,0.8114771563020481,0.9964850808722573,0.003385496,1.470292,-0.21770118,1.4002255,-0.30926612
Compression_1,57,0.7872191694537053,0.9924379585356045,0.006414751,1.6391875,-0.095628604,1.6946895,-0.15984339
Compression_1,58,0.8879815344205017,0.9885426815732857,0.010377003,0.9304494,0.09445211,0.849444,-0.62504053
Compression_1,59,0.8834459403977286,0.9892466940627171,0.011626665,1.4688829,0.13347076,1.8397487,0.60921973
Compression_1,60,0.9444785706448714,0.9984921249262754,0.0017780792,2.393419,0.5713004,2.1822405,0.29581103
Compression_1,61,0.8595316176593175,0.9987244223253754,0.0016029888,2.2772481,-0.5271291,2.2881181,-0.41994417
Compression_1,62,0.7728409960688821,0.9991031460970873,0.00094149506,2.9994867,-0.09137467,2.691973,0.106695145
Compression_1,63,0.9222983594992343,0.9972718135998168,0.0031213867,2.9835806,0.008522327,1.7885312,-0.45866928
Compression_1,64,0.8004853592237818,0.984475515443981,0.0152304135,3.3040366,0.0049135895,2.696698,-0.14418997
Compression_1,65,0.7445114725006867,0.9994866840106623,0.0024345927,2.3166413,0.22754884,2.441777,0.4871255
Compression_1,66,0.8611755397042171,0.9961544430400673,0.0024694786,1.4320213,-0.24810725,1.3482971,-0.59706575
Compression_1,67,0.8573026546401087,0.9974068724198584,0.0039888504,2.685584,0.41389418,2.8404186,0.05159541
Compression_1,68,0.7905201828724276,0.9949540778415177,0.008967558,2.5675583,-0.75037026,2.5302112,-0.594806
Compression_1,69,0.8137687210394379,0.9912296644823162,0.013581841,2.855659,-0.025029259,2.632941,0.22417913
Compression_1,70,0.8615759043113004,0.9978954852244732,0.0022158166,2.7904813,-0.5056549,2.5660026,-0.2660745
Compression_1,71,0.6946138765220692,0.995104696498614,0.0029830127,1.291665,-0.1493987,1.3381387,-0.8515933
Compression_1,72,0.469514614720806,0.9978985383466129,0.002460854,1.9993551,0.11351558,2.3296895,0.16094722
Compression_1,73,0.7716321371806979,0.987157572871014,0.007486157,1.7929294,-0.51975673,1.7609937,-0.754826
Compression_1,74,0.6711670628452123,0.9932662461384315,0.0052912757,1.1909152,-0.7192886,1.3258607,-0.4790964
Compression_1,75,0.5921838321175824,0.9957767795783786,0.0021691963,1.1218596,-0.5698979,1.1574558,-0.8982145
Compression_1,76,0.7809566836218443,0.9975436715931825,0.0026956887,1.9524926,-0.37295806,1.4014947,-0.4984848
Compression_1,77,0.8000005984265827,0.9925754847102717,0.010347298,1.7611752,0.51705986,1.3321159,0.13640499
Compression_1,78,0.7522410775239433,0.9885192393446381,0.0076144654,2.0915759,0.7099291,1.760792,0.68029493
Compression_1,79,0.7554932347385218,0.9925728870468102,0.008182218,1.4281448,-0.04871542,1.3960481,-0.39123634
Compression_1,80,0.8676762604555104,0.9944690765712577,0.004796466,1.5950618,-0.2752082,1.518569,-0.048143305
Compression_1,81,0.7800333140407177,0.995631757451273,0.0051994175,1.194334,-0.72212875,1.530657,-0.11518364
Compression_1,82,0.8636305883942565,0.9614889631463117,0.03170593,1.0257951,-0.4333897,0.7767881,-0.9345844
Compression_1,83,0.7717497933016157,0.9791397190717389,0.015574751,1.259698,-0.5824463,1.3007398,-0.31349397
Compression_1,84,0.8237776304806604,0.9961448555404558,0.0042856657,1.718665,-0.09820386,0.9857383,-0.3128953
Compression_1,85,0.8862416830769094,0.9956477700792499,0.003308962,2.2081916,-0.5322614,1.9360697,-0.19640934
Compression_1,86,0.6704062708024576,0.9991988555460309,0.0027613435,3.4886801,-0.084081426,3.388979,-0.020039484
Compression_1,87,0.7791241481517829,0.9937928407889637,0.007044756,2.3173811,-0.5752925,1.7607733,-0.6499951
Compression_1,88,0.8932234738457793,0.9935555097275977,0.007050442,1.9240277,0.31130436,1.7561147,-0.19768909
Compression_1,89,0.8503290068766618,0.9831866110020325,0.012126668,1.1050049,-0.1791212,1.2674093,-0.024932416
Compression_1,90,0.8411144336175775,0.991676752861736,0.0063315723,1.2886435,-0.83332604,1.3585343,-0.5415006
Compression_1,91,0.8405461396660906,0.9976950050916692,0.003627465,2.015879,-0.0932166,2.1725137,0.21764036
Compression_1,92,0.8015870219708772,0.9859851680532644,0.01666322,3.114912,0.88052416,2.8731875,0.8450417
Compression_1,93,0.8290501774225486,0.9787542627024662,0.015344923,2.4734893,0.53814673,2.1906352,0.49505684
Compression_1,94,0.8121483442229779,0.9963754436929022,0.006494925,2.6505594,0.86760104,1.5095117,-0.19092204
Compression_1,95,0.7063004968156311,0.9968424252271839,0.004918396,2.635159,0.53344977,2.4389946,0.287592
Compression_1,96,0.8414183762227107,0.985560373600356,0.019176647,2.084297,-0.07317256,3.0205996,0.33910826
Compression_1,97,0.838317134945533,0.9939531414024245,0.009200706,2.0236783,0.37796885,1.6983317,0.29199654
Compression_1,98,0.7503064786414466,0.9978313509788651,0.004147457,4.1099896,1.3384814,3.0862625,1.0741366
Compression_1,99,0.8296827360772084,0.9945924944955817,0.00954322,3.9387798,0.39003158,3.088605,0.17250614
Compression_1,100,0.8224917386626117,0.9901524974859873,0.011971484,2.180999,-0.16158463,2.2229776,0.09529576
Compression_2,1,0.7897224067369947,0.9845920467120647,0.027336162,3.5088542,0.3722019,3.7223334,0.7971734
Compression_2,2,0.6919622284137578,0.9923910082951442,0.015817152,1.8124291,0.010935291,2.1063526,-0.024800928
Compression_2,3,0.8595163502423745,0.9934450190319344,0.03649426,2.936771,-0.04200578,4.0570865,0.82190067
Compression_2,4,0.7584676207517789,0.9657219155816881,0.03128661,2.4554195,0.1489739,2.0473545,0.2091065
Compression_2,5,0.6682925627360023,0.9784928524046315,0.025706032,1.2642905,-0.6202049,1.3246659,-0.6222795
Compression_2,6,0.8213459916547771,0.9922159958020073,0.020478144,4.563083,0.9936191,2.8631618,0.6223539
Compression_2,7,0.835306340735344,0.9614523253368304,0.0317121,2.1356633,0.41628966,2.016567,0.2753965
Compression_2,8,0.7598556163090038,0.9980811656631463,0.021596476,4.1458554,0.8263603,2.2561646,-0.70737046
Compression_2,9,0.7222377153033838,0.9930838475557543,0.009372944,2.779772,0.9915992,2.1475706,0.12464371
Compression_2,10,0.7107575241943381,0.9725906383697036,0.030298382,1.6118802,-0.100395545,1.718781,-0.18400696
Compression_2,11,0.6685837247500427,0.9889203874666983,0.0133217145,1.5579278,0.31283173,1.5922909,0.102172874
Compression_2,12,0.7040436142090741,0.9704110381207853,0.06017199,2.0434906,1.0415205,1.8758067,0.048934188
Compression_2,13,0.5671686151186098,0.9902274227798522,0.010601008,2.1729708,0.22032088,1.738812,0.31180963
Compression_2,14,0.7917980525706169,0.9858014048905477,0.020579606,1.6497128,0.10135792,2.217998,0.27703232
Compression_2,15,0.612915082799982,0.9074416474932746,0.14668798,1.77245,0.39950767,1.1828843,-1.1939766
Compression_2,16,0.6508070049731923,0.9839307509723827,0.010610975,1.108061,-0.6005963,1.28674,-0.84342676
Compression_2,17,0.726748502764841,0.9888259480315099,0.010003491,2.736474,0.6196296,1.55486,-0.35637063
Compression_2,18,0.6789362289864626,0.9925179348644904,0.022140637,3.7007587,0.10149319,2.3526192,0.14411016
Compression_2,19,0.8131732663706787,0.9928322108088822,0.008200672,4.2967715,0.37725076,4.1739535,0.29738998
Compression_2,20,0.7019074348269317,0.9735014886844623,0.029857848,1.2547113,-0.12352672,1.7501962,0.14340205
Compression_2,21,0.7115633528085556,0.995902339028139,0.0145872785,5.0817847,1.0837563,4.6630187,0.5943435
Compression_2,22,0.7044710842747163,0.9888265275875844,0.015491219,3.0587187,0.46469757,2.3166738,-0.027248412
Compression_2,23,0.7770919805508091,0.9844066492091118,0.01805006,3.0580564,1.2671969,1.8422968,0.6768219
Compression_2,24,0.7021181985216091,0.9854930448538384,0.015929913,2.150295,0.2148015,1.7536503,0.11987235
Compression_2,25,0.695514257118924,0.9958564271651635,0.012288902,3.805927,0.26284593,2.3061244,0.89595956
Compression_2,26,0.5898397039628113,0.959590508478978,0.048986122,1.521057,-0.400896,1.580224,-0.2034073
Compression_2,27,0.9131241067888064,0.990005148473592,0.011275076,3.3845067,0.6675654,2.9404407,0.41467252
Compression_2,28,0.6663800614584486,0.99267528952654,0.01322644,1.3019055,-0.014553692,1.6931224,0.136022
Compression_2,29,0.7151746134585523,0.9905156040499253,0.008968569,1.5684596,0.4222848,0.8652434,-0.068639174
Compression_2,30,0.78395430879305,0.9858481712764995,0.02112704,2.7790203,0.29745612,2.4685416,0.13693269
Compression_2,31,0.7062239999449454,0.9784988964310852,0.023627076,2.207238,-0.25884664,1.9370878,0.21457525
Compression_2,32,0.7524352121114738,0.9970496367655596,0.0058387844,3.0333476,0.18186636,2.0240767,-0.69135606
Compression_2,33,0.7247301739781546,0.9869830653155053,0.016722579,1.8842145,-0.81437415,1.697779,-0.3633332
Compression_2,34,0.8716017753307543,0.9928543024114362,0.005684532,1.2205364,-0.85741115,1.1870112,-0.83978796
Compression_2,35,0.7054583523399295,0.9890168784274748,0.0057706507,1.1231974,-0.32307655,1.4073334,-0.28144348
Compression_2,36,0.6349535180928095,0.9790818220773417,0.015305093,1.3278446,-0.79396564,1.4033055,-0.45936784
