transformation,image_number,ssim,cc,kl,reference_nss,reference_ig,loss_nss,loss_ig
Boundary,59,0.10276670641916141,0.8193432610893544,0.1668221,1.4700007,0.07528582,-0.6913619322480459,-0.43422746977480187
Boundary,60,0.0960877494337616,0.8469336390732547,0.20462123,2.1933517,0.32375777,0.17577532023503484,-0.05685520863346105
Boundary,61,0.5818082102768999,0.8328990600569581,0.16925234,2.687024,-0.32017496,-0.14237972622595152,-0.07747006543324142
Boundary,62,0.6129084743030131,0.9546164278753305,0.055244237,3.9729095,0.45989716,0.3682346984024429,0.25273759310354077
Boundary,63,0.5964094549013249,0.6340656716246231,0.3766269,5.286795,1.0304681,1.3412569704472679,0.9125668429166219
Boundary,64,0.7039943522601115,0.8865939356123312,0.19893004,3.925084,0.31753764,0.0380419064670397,-0.27335015380945116
Boundary,65,0.25352082428744,0.9801749225193952,0.054340832,1.8833612,-0.1576593,0.24673384272175036,0.22265788502413994
Boundary,66,0.6890429012887244,0.938949660347525,0.04045503,1.6117663,-0.07837024,-0.1773157932895324,0.1980658949740749
Boundary,67,0.6061310543773786,0.8962321811164992,0.120548904,2.9344783,0.67579126,0.45938514908105577,0.36924005826494827
Boundary,68,0.570153005434683,0.9474507885973837,0.049290296,3.2582395,-0.31814262,0.36941440528291575,-0.00352532553072199
Boundary,69,0.6447700846949161,0.9211442322935822,0.09220514,3.2149048,0.050237644,-0.3859648091852929,-0.42632630377231995
Boundary,70,0.5764723642484779,0.7764400326489899,0.18785521,4.777994,0.28404212,0.923307223431554,0.08185782650495776
Boundary,71,0.2642937295160543,0.8341563510557637,0.08266372,1.241492,-0.30233788,0.25842023429007693,0.5310607382800406
Boundary,72,0.39982345352873877,0.8615737176081085,0.1762869,1.6875954,0.23246597,-0.18157161642458625,-0.07052304044129273
Boundary,73,0.4482807164363615,0.8818481350180649,0.08305719,1.8738122,-0.6134722,-0.8317126220490987,-0.5552219335247268
Boundary,74,0.03612341110244637,0.8473406264811663,0.11204978,1.8272815,-0.12832098,-0.31837141316466516,-0.2727140813737666
Boundary,75,0.07169780317928728,0.6994248664247834,0.115544975,1.3093039,-0.6273242,2.154816013281257,1.2382483338763184
Boundary,76,0.016674718333186105,0.7824398185368197,0.22652964,1.5916693,-0.38972363,-0.4395824620604402,-0.056537609411943024
Boundary,77,0.01563963434733255,0.8515888058989557,0.18600659,1.7877102,0.5684366,-0.2531578941269491,-0.1854941432793738
Boundary,78,0.1321274093805714,0.9535331275458475,0.14362389,2.3054247,0.65285444,-0.10815902273051892,-0.3068551411259616
Boundary,79,0.018531942500473183,0.5828285282271456,0.22581525,1.5037888,0.11626229,0.974934466274762,0.7243044632069753
Boundary,80,0.004361284005495916,0.8580968738358467,0.21117665,1.6591455,-0.27619573,-0.1256025049052476,-0.24810585480113534
Boundary,81,0.2713829211350008,0.8096621856082866,0.14240995,1.2766055,-0.7209854,-1.1674435563267669,-0.9331130368420061
Boundary,82,0.24781838201225273,0.7607168142959746,0.19106913,1.1142899,-0.51021636,-1.4783575104123585,-0.7616679676217442
Boundary,83,0.275698475254252,0.8011447705714452,0.12036753,1.5754329,-0.44015273,-0.4382194528963629,-0.3693756971750989
Boundary,84,0.2514490225989968,0.7293049852419518,0.21752828,1.8142561,0.11105892,0.34786559974865544,0.3746878964025411
Boundary,85,0.4394072546324264,0.8174126602615556,0.12352585,1.5323969,-0.9781677,-1.361826652424139,-0.9263789536464527
Boundary,86,0.6059775584628332,0.9527977022841532,0.33594263,3.5796719,0.05288372,-0.9717628355169335,-0.5557929243060589
Boundary,87,0.31409835678409675,0.7890193045440484,0.1654445,3.2320814,-0.34160495,1.0179900054296613,0.4485312381441565
Boundary,88,0.17670976434957433,0.8506696470719766,0.22248249,1.4819338,0.2072715,0.20358451388562243,-0.12359852875371985
Boundary,89,0.3964183662122942,0.8853309624139255,0.12649581,1.1162105,-0.16016805,-1.1997014397332415,-0.6902820906783418
