transformation,image_number,ssim,cc,kl,reference_nss,reference_ig,loss_nss,loss_ig
Boundary,30,0.2973497135367698,0.8680225191073171,0.15320773,2.7790203,0.29745612,0.31367679858809655,0.45675668896222443
Boundary,31,0.23464459927324657,0.7082081043575126,0.38760123,2.207238,-0.25884664,0.1339250876569087,0.21549943240025188
Boundary,32,0.35825295104807536,0.7855357958024047,0.4043134,3.0333476,0.18186636,0.12064219141115931,0.4065971271054686
Boundary,33,0.2492350350977286,0.9393271641068849,0.07863581,1.8842145,-0.81437415,-0.27383398683610194,-0.6489484792297336
Boundary,34,0.45983294180184764,0.884508220548404,0.09181893,1.2205364,-0.85741115,-1.239529188811583,-0.5928612515936997
Boundary,35,0.2525243464884648,0.8962368588686763,0.07261576,1.1231974,-0.32307655,0.9753537374318013,0.3543719297262559
Boundary,36,0.19419260896774668,0.8714467781915336,0.19199982,1.3278446,-0.79396564,0.3739961258837987,0.05313359772984405
Boundary,37,0.10919501614351268,0.9456845775947289,0.052273832,1.0490589,0.4046887,2.0092515149906434,1.5292488610003476
Boundary,38,0.5673231815862808,0.8742004615048972,0.15303159,1.9947346,0.2895739,0.8807850749689102,0.5275698788562964
Boundary,39,0.4296741086490654,0.9037553819523764,0.08365646,1.8483152,0.013370438,-0.10025610170705765,-0.19569090127381808
Boundary,40,0.4456131886629,0.8225729428526386,0.17224678,1.2861571,-0.5230975,0.42094784564867016,0.2343626524997997
Boundary,41,0.03835800713501487,0.7162438146410173,0.2939937,1.4629159,-0.37620324,0.5080608050152038,-0.08748034566936619
Boundary,42,0.25070074132101045,0.8259186232943424,0.21570542,3.2537658,0.32767105,0.7495558027644749,0.4391880206122441
Boundary,43,0.15237347674358945,0.871081064221452,0.106598526,0.66605604,-0.72528666,0.2055682731039301,0.1414319188091161
Boundary,44,0.2467872302479376,0.9256876612201185,0.13289936,2.815398,0.55162686,0.40650691660349025,0.4243600707813298
